address,duid,valid_lifetime,expire,subnet_id,pref_lifetime,lease_type,iaid,prefix_len,fqdn_fwd,fqdn_rev,hostname,hwaddr,state,user_context,hwtype,hwaddr_source,pool_id
2001:b88:8005:f014::100,00:03:00:01:00:90:50:d3:6a:a3,7200,1761706939,11,3600,0,1,128,0,0,,00:90:50:d3:6a:a3,0,,1,2,0
2001:b88:8005:f013::3,00:03:00:01:a8:70:5d:27:0c:7c,7200,1761706966,10,3600,0,1562840188,128,0,0,,a8:70:5d:27:0c:7c,0,,1,0,0
2001:b88:8005:f007::e,00:03:00:01:f8:79:0a:20:64:d0,7200,1761706978,2,3600,0,169895120,128,0,0,,f8:79:0a:20:64:d0,0,,1,0,0
2001:b88:8005:f007::8,00:03:00:01:f8:79:0a:20:64:bc,7200,1761706984,2,3600,0,169895100,128,0,0,,f8:79:0a:20:64:bc,0,,1,0,0
2001:b88:8005:f007::10,00:03:00:01:1c:93:7c:9f:4b:1c,7200,1761707007,2,3600,0,2090814236,128,0,0,,1c:93:7c:9f:4b:1c,0,,1,0,0
2001:b88:8005:f007::4,00:03:00:01:f8:79:0a:20:64:cc,7200,1761707007,2,3600,0,169895116,128,0,0,,f8:79:0a:20:64:cc,0,,1,0,0
2001:b88:8005:f013:0:a870:5d29:3ec4,00:03:00:01:a8:70:5d:29:3e:c4,7200,1761707013,10,3600,0,1562984132,128,0,0,,a8:70:5d:29:3e:c4,0,,1,0,0
2001:b88:8005:f007::c,00:03:00:01:f8:79:0a:20:64:c4,7200,1761707030,2,3600,0,169895108,128,0,0,,f8:79:0a:20:64:c4,0,,1,0,0
2001:b88:8005:f007::9,00:03:00:01:1c:93:7c:9f:4b:18,7200,1761707042,2,3600,0,2090814232,128,0,0,,1c:93:7c:9f:4b:18,0,,1,0,0
2001:b88:8005:f007:0:d46c:6d91:341c,00:03:00:01:d4:6c:6d:91:34:1c,7200,1761707078,2,3600,0,1838232604,128,0,0,,d4:6c:6d:91:34:1c,0,,1,0,0
2001:b88:8005:f007::a,00:03:00:01:1c:93:7c:9f:4b:20,7200,1761707092,2,3600,0,2090814240,128,0,0,,1c:93:7c:9f:4b:20,0,,1,0,0
2001:b88:8005:f016:0:a870:5d28:23f0,00:03:00:01:a8:70:5d:28:23:f0,7200,1761707118,14,3600,0,1562911728,128,0,0,,a8:70:5d:28:23:f0,0,,1,0,0
2001:b88:8005:f007:0:90:50d3:6aae,00:03:00:01:00:90:50:d3:6a:ae,7200,1761707127,2,3600,0,1,128,0,0,,00:90:50:d3:6a:ae,0,,1,0,0
2001:b88:8005:f007::3,00:03:00:01:f8:79:0a:20:64:c0,7200,1761707200,2,3600,0,169895104,128,0,0,,f8:79:0a:20:64:c0,0,,1,0,0
2001:b88:8005:f013::7,00:03:00:01:00:90:50:d3:78:94,7200,1761707289,10,3600,0,1,128,0,0,,00:90:50:d3:78:94,0,,1,2,0
2001:b88:8005:f007::2,00:03:00:01:d4:6c:6d:77:49:f4,7200,1761707292,2,3600,0,1836534260,128,0,0,,d4:6c:6d:77:49:f4,0,,1,0,0
2001:b88:8005:f013::5,00:03:00:01:00:90:50:d3:78:9f,7200,1761707314,10,3600,0,1,128,0,0,,00:90:50:d3:78:9f,0,,1,2,0
2001:b88:8005:f016::7899,00:03:00:01:00:90:50:d3:78:99,7200,1761707354,14,3600,0,1,128,0,0,,00:90:50:d3:78:99,0,,1,2,0
2001:b88:8005:f013::8,00:03:00:01:00:90:50:d3:78:a0,7200,1761707355,10,3600,0,1,128,0,0,,00:90:50:d3:78:a0,0,,1,2,0
2001:b88:8005:f013::4,00:03:00:01:00:90:50:d3:78:a8,7200,1761707360,10,3600,0,1,128,0,0,,00:90:50:d3:78:a8,0,,1,2,0
2001:b88:8005:f016:0:90:50d3:68b1,00:03:00:01:00:90:50:d3:68:b1,7200,1761707402,14,3600,0,1,128,0,0,,00:90:50:d3:68:b1,0,,1,2,0
2001:b88:8005:f007:0:90:50d3:6b0b,00:03:00:01:00:90:50:d3:6b:0b,7200,1761707451,2,3600,0,1,128,0,0,,00:90:50:d3:6b:0b,0,,1,2,0
2001:b88:8005:f007:0:90:50d3:6b12,00:03:00:01:00:90:50:d3:6b:12,7200,1761707455,2,3600,0,1,128,0,0,,00:90:50:d3:6b:12,0,,1,2,0
2001:b88:8005:f013::5d72,00:03:00:01:00:90:50:d3:5d:72,7200,1761707459,10,3600,0,1,128,0,0,,00:90:50:d3:5d:72,0,,1,0,0
2001:b88:8005:f007:0:90:50d3:6fb6,00:03:00:01:00:90:50:d3:6f:b6,7200,1761707523,2,3600,0,1,128,0,0,,00:90:50:d3:6f:b6,0,,1,0,0
2001:b88:8005:f007::7,00:03:00:01:d4:6c:6d:77:82:94,7200,1761707551,2,3600,0,1836548756,128,0,0,,d4:6c:6d:77:82:94,0,,1,0,0
2001:b88:8005:f007:0:90:50d3:6b0a,00:03:00:01:00:90:50:d3:6b:0a,7200,1761707608,2,3600,0,1,128,0,0,,00:90:50:d3:6b:0a,0,,1,0,0
2001:b88:8005:f016:0:90:5008:8614,00:03:00:01:00:90:50:08:86:14,7200,1761707639,14,3600,0,1,128,0,0,,00:90:50:08:86:14,0,,1,2,0
2001:b88:8005:f016::8613,00:03:00:01:00:90:50:08:86:13,7200,1761707663,14,3600,0,1,128,0,0,,00:90:50:08:86:13,0,,1,2,0
2001:b88:8005:f016:0:a870:5d28:23fc,00:03:00:01:a8:70:5d:28:23:fc,7200,1761707673,14,3600,0,1562911740,128,0,0,,a8:70:5d:28:23:fc,0,,1,2,0
2001:b88:8005:f007::d,00:03:00:01:d4:6c:6d:77:81:74,7200,1761707687,2,3600,0,1836548468,128,0,0,,d4:6c:6d:77:81:74,0,,1,2,0
2001:b88:8005:f016:0:a870:5d28:23f8,00:03:00:01:a8:70:5d:28:23:f8,7200,1761707702,14,3600,0,1562911736,128,0,0,,a8:70:5d:28:23:f8,0,,1,0,0
2001:b88:8005:f016:0:a870:5d28:23ec,00:03:00:01:a8:70:5d:28:23:ec,7200,1761707703,14,3600,0,1562911724,128,0,0,,a8:70:5d:28:23:ec,0,,1,0,0
2001:b88:8005:f016:0:a870:5d27:c80,00:03:00:01:a8:70:5d:27:0c:80,7200,1761707710,14,3600,0,1562840192,128,0,0,,a8:70:5d:27:0c:80,0,,1,0,0
2001:b88:8005:f016:0:a870:5d27:c84,00:03:00:01:a8:70:5d:27:0c:84,7200,1761707711,14,3600,0,1562840196,128,0,0,,a8:70:5d:27:0c:84,0,,1,0,0
2001:b88:8005:f007:0:90:50d3:6b10,00:03:00:01:00:90:50:d3:6b:10,7200,1761707723,2,3600,0,1,128,0,0,,00:90:50:d3:6b:10,0,,1,2,0
2001:b88:8005:f013:0:90:50d3:7226,00:03:00:01:00:90:50:d3:72:26,7200,1761707805,10,3600,0,1,128,0,0,,00:90:50:d3:72:26,0,,1,2,0
2001:b88:8005:f007:0:d46c:6d91:341c,00:03:00:01:d4:6c:6d:91:34:1c,7200,1761707806,2,3600,0,1838232604,128,0,0,,d4:6c:6d:91:34:1c,0,,1,0,0
2001:b88:8005:f007::6,00:03:00:01:d4:6c:6d:91:2f:b4,7200,1761707912,2,3600,0,1838231476,128,0,0,,d4:6c:6d:91:2f:b4,0,,1,2,0
2001:b88:8005:f013:0:24a1:8607:10,00:03:00:01:24:a1:86:07:00:10,7200,1761707955,10,3600,0,2248605712,128,0,0,,24:a1:86:07:00:10,0,,1,0,0
2001:b88:8005:f016:0:a870:5d29:2ba4,00:03:00:01:a8:70:5d:29:2b:a4,7200,1761707970,14,3600,0,1562979236,128,0,0,,a8:70:5d:29:2b:a4,0,,1,2,0
2001:b88:8005:f016:0:a870:5d28:23f4,00:03:00:01:a8:70:5d:28:23:f4,7200,1761707975,14,3600,0,1562911732,128,0,0,,a8:70:5d:28:23:f4,0,,1,0,0
2001:b88:8005:f007:0:24a1:8607:1c,00:03:00:01:24:a1:86:07:00:1c,7200,1761708007,2,3600,0,2248605724,128,0,0,,24:a1:86:07:00:1c,0,,1,2,0
2001:b88:8005:f007::5,00:03:00:01:1c:93:7c:9f:b0:ac,7200,1761708064,2,3600,0,2090840236,128,0,0,,1c:93:7c:9f:b0:ac,0,,1,0,0
2001:b88:8005:f007::b,00:03:00:01:d4:6c:6d:91:3a:40,7200,1761708074,2,3600,0,1838234176,128,0,0,,d4:6c:6d:91:3a:40,0,,1,0,0
2001:b88:8005:f007::f,00:03:00:01:00:90:50:d3:6a:ad,7200,1761708153,2,3600,0,1,128,0,0,,00:90:50:d3:6a:ad,0,,1,0,0
